Authors,Title
"Abimbola, Faisal Khan",Resilience modeling of engineering systems using dynamic object-oriented Bayesian network approach
"Agustin, Mawengkang, Mathelinea",Decision Model for Planning and Scheduling of Seafood Product Considering Traceability
"Alexopoulos, Ioannis Anagiannis, Nikolaos Nikolakis and George Chryssolouris",A quantitative approach to resilience in manufacturing systems
Awad & Abd-Elaziz,An Efficient Modified Genetic Algorithm for Integrated Process Planning – Job Scheduling
"Bahroun, Shamayleh & Zakaria",Dynamic and flexible scheduling for a single machine
"Bazargan-Lari, Taghipour, Zaretalab, Sharifi",Planning and scheduling of a parallel-machine production system subject to disruptions and physical distancing
"Bratic, Preprotic, Jurecic, Sapina",Bookbinding Operational Planning and Scheduling Optimization with Deep Learning Algorithms
"Caputo, L. Donati, P. Salini",Estimating resilience of manufacturing plants to physical disruptions: Model and application
Chen Zhaoming,Digital Twin-Oriented Collaborative Optimization of Process Planning and Scheduling in Flexible Job Shop
"Chen, Huang, Yi, Pei, Wang, Ji",Bi-level collaborative day-ahead optimization scheduling of manufacturing-energy system targeting energy cost reduction
"Dai, Tang, Xu, Li",Energy-aware integrated process planning and scheduling for job shops
"Dao, Abhary, Marian",An improved genetic algorithm for multidimensional optimization of precedence-constrained production planning and scheduling
"Duan, Wang",Robust scheduling for flexible machining job shop subject to machine breakdowns and new job arrivals considering system reusability and task recurrence
Duchek,"Organizational resilience: a capability-based
conceptualization"
"Duran E., Ozturk C., O’Sullivan B.",Exact and Heuristic Methods for Planning and Scheduling Collaborative Manufacturing Systems
"Erden, Demir & Canpolat","A modified integer and categorical PSO algorithm for solving integrated process planning, dynamic scheduling, and due date assignment problem"
Feng et al.,Time-based resilience metric for smart manufacturing systems and optimization method with dual-strategy recovery
"Feng, Xingshuo Hai, Meng Liu, Dezhen Yang, Zili Wang, Yi Ren, Bo Sun, Baoping Cai",Time-based resilience metric for smart manufacturing systems and optimization method with dual-strategy recovery
"Fowler,  Gregory Epiphaniou, Matthew D. Higgins, Carsten Maple",Aspects of resilience for smart manufacturing systems
"Franke, Franke & Riedel",Robustness evaluation of production plans using Monte Carlo simulation
"Ghaleb, Namoura, Taghipour",Reinforcement Learning-based Real-time Scheduling Under Random Machine Breakdowns and Other Disturbances: A Case Study
"Grimm, Lambert & Rakurty",Using Monte Carlo Simulations and Little’s Law to Improve Process Planning
"Guizzi, Revetria, Vanacore, Vespoli",On the open job-shop scheduling problem: a decentralized multi-agent approach for the manufacturing system performance optimization
"Guo, Li, Liu, Zhuang, Pei",Dynamic integrated process planning and scheduling under multi-resource constraints in workshops with reconfigurable manufacturing cells: a novel hyper-heuristic approach
"Haro, Avalos, Galvez & Camarena",An Integrated Process Planning and Scheduling problem solved from an adaptive multi-objective perspective
Hongying Wang,Manufacturing Workshop Multi-Objective Dynamic Scheduling Problem and Model Establishment
"Hosseinzadeh, Heydari, Mazdeh",Mathematical modeling and two metaheuristic algorithms for integrated process planning and group scheduling with sequence-dependent setup time
"Hu, Dong, Liu, Zhuang, Zhang",A learning-guided hybrid GA and multi-neighborhood search for the IPPS problem with reconfigurable manufacturing cells
"Imsetif, Nezamoddini, Aqlan",Job Shop planning and scheduling of reconfigurable manufacturing systems
"Jafar-Zanjani, Zandieh & Sharifi",Robust and resilient joint periodic maintenance planning and scheduling in a multi-factory network under uncertainty
"Jain S., Foley W.J.",Dispatching strategies for managing uncertainties in automated manufacturing systems
"Javaid, Ullah",Data driven simulation based optimization model for job-shop production planning and scheduling: an application in a digital twin shop floor
"Jiang, Duan, Guo et al.",An Improved Q-learning Algorithm for Solving Integrated Process Planning and Scheduling Problems
"Jiewu Leng, Junxing Xie, Rongjie Li, Xueliang Zhou, Xi Gu, Qiang Liu, Xin Chen, Wenjun Zhang, Andrew Kusiak","Resilient manufacturing: A review of disruptions, assessment, and pathways"
"Jin, Zhang & Fei",Realising Energy Savings in Integrated Process Planning and Scheduling
"Jin, Zhang, Shao, Yang",A study on the impact of periodic and event-driven rescheduling on a manufacturing system: An integrated process planning and scheduling case
"Jin, Zhang, Wen, Christopher",A Neutrosophic Number-Based Memetic Algorithm for the Integrated Process Planning and Scheduling Problem With Uncertain Processing Times
"Kristianto Y., Gunasekaran A., Helo P.",Building the “Triple R” in global manufacturing
Kuo et al,A deep reinforcement learning based digital twin framework for resilient production planning under demand uncertainty and an empirical study in semiconductor wafer fabrication
"Li M., Qu T., Liu B., Luo Q., Yan M., Li M., He Z., Huang G.Q.",Out-of-Order Architecture for Real-Time Data-Driven Resilient Planning and Scheduling of Cyber-Physical Manufacturing Systems
"Lin, Li, Wei, Wu",Integration of process planning and scheduling for distributed flexible job shops
Liu et al,Two Novel MILP Models with Different Flexibilities for Solving Integrated Process Planning and Scheduling
"Liu, Li, Gao, Fan",A Multi-MILP Model Collaborative Optimization Method for Integrated Process Planning and Scheduling Problem
"Liu, Li, Gao, Li",A Modified Genetic Algorithm With New Encoding and Decoding Methods for Integrated Process Planning and Scheduling Problem
"Liu, Zhang, Lu",A multi-population co-evolutionary algorithm for green integrated process planning and scheduling considering logistics system
"Liu, Zhang, Lu",Energy-efficient integration of process planning and scheduling in discrete parts manufacturing with a heuristic-based two-stage approach
"Liu, Zhang, Lu",Improving Energy Efficiency in Discrete Parts Manufacturing System Using an Ultra-Flexible Job Shop Scheduling Algorithm
"Magodi, Y., Mpofu, K., Daniyan, I., Ale, F.",Towards the Development of Resilient Manufacturing Systems: A Systematic Literature Review
"Malshe, S. Bapata, K. Rajurkar, S. Melkote",Biological strategies from natural structures for resilience in manufacturing
"Manupati V.K., Putnik G., Jacob S.M., Chiramal A.A., Sooraj N.R.",A social network and simulation-based optimization approach for manufacturing resilience in a distributed manufacturing system
"Marzia, Azab, Vital-Soto",Integrated Process Planning and Scheduling Framework Using an Optimized Rule-Mining Approach for Smart Manufacturing
"Mathew N.T., Svanberg M., Sjöholm J., Johansson B.",Digitalization for flexible and resilient production planning and scheduling in engineer-to-order manufacturing
"Michael J¨antsch, Naresh N. Nandola, Li Wang, Mathias Hakenberg and Ulrich M¨unz",Enhanced branch and bound approach for receding horizon based planning
"Ming, Zheng, Liu, Zhuang",Integrated process planning and scheduling with reconfigurable manufacturing cells through an improved dueling double deep Q-network algorithm
"Mohapatra, Nayak, Kumar, Tiwari",Multi-objective process planning and scheduling using controlled elitist non-dominated sorting genetic algorithm
"Mumtaz, Guan, Yue, Zhang, He",Hybrid spider monkey optimisation algorithm for multi-level planning and scheduling problems of assembly lines
"Nyporko A., Chrpa L.",Modelling and solving industrial production tasks as planning-scheduling tasks
"Park J., Lee H., So B., Kim Y., Kim B.H., Chung Y., Ko K., Kang J., Park B.C.",New key performance indices for complex manufacturing scheduling
"Park K.-T., Lee J.-Y., Park M.-W., Park Y.H., Lee J.-Y., Choi Y.-H.",Models and P4R asset description for digital twin-based advanced planning and scheduling using cyber-physical integration for resilient production operation
"Pauker F., Mangler J., Rinderle-Ma S., Pollak C.",Centurio.work - Modular secure manufacturing orchestration
Peng et al.,A Hybrid Algorithm Incorporating Sequencing Flexibility for the Integrated Process Planning and Scheduling (IPPS) Problem
"Petrovic, Vukovic, Mitic, Miljkovic",Integration of process planning and scheduling using chaotic particle swarm optimization algorithm
"Quintanilla, Cardin, Lanton, Castagna",A Petri net-based methodology to increase flexibility in service-oriented holonic manufacturing systems
"Ramya, Chandrasekaran, Shankar",Case Study Analysis of Job Shop Scheduling and its Integration with Material Requirement Planning
"Rauf, Guan Yue, Guo, Mumtaz, Ullah",Integrated Planning and Scheduling of Multiple Manufacturing Projects Under Resource Constraints Using Raccoon Family Optimization Algorithm
"Raza, Yuan, Wang, Liu, Hu",Enhancing Manufacturing Efficiency Through Symmetry-Aware Adaptive ACO Algorithm for IPPS
"Rossi, Lanzetta",Integration of hybrid additive/subtractive manufacturing planning and scheduling by metaheuristics
"Sajadi, Alizadeh",Robust and stable flexible job shop scheduling with random machine breakdowns: multi-objectives genetic algorithm approach
"Shi, Yang, Xu, Quan",Solving the integrated process planning and scheduling problem using an enhanced constraint programming-based approach
"Weichhart , J. Mangler, A. Raschendorfer, C. Mayr-Dorn, C. Huemer, A. Hämmerle, A. Pichler",An adaptive system-of-systems approach for resilient manufacturing
"Wen, Li, Gao, Wang, Li",Modified honey bees mating optimization algorithm for multi-objective uncertain integrated process planning and scheduling problem
"Wen, Lian, Qian, Zhang, Wang, Li",Dynamic Scheduling Method for Integrated Process Planning and Scheduling (IPPS) with Machine Fault.
"Wen, Qian, Lian, Li, Wang, Zhang",Improved genetic algorithm for integrated process planning and scheduling in distributed heterogeneous manufacturing environment
"Wen, Qian. Lian, Zhang, Wang, Li",Improved genetic algorithm based on multi-layer encoding for integrated process planning and scheduling
"Wu, Li",Two Layered Approaches Integrating Harmony Search with Genetic Algorithm for the Integrated Process Planning and Scheduling Problem
"Xi Gu, Xiaoning Jin, Jun Ni, Yoram Koren",Manufacturing System Design for Resilience
"Xia, Li, Gao",A Hybrid Genetic Algorithm with Variable Neighborhood Search for Dynamic Integrated Process Planning and Scheduling
"Yang, Tan, Tian, Jiang, Chen, Lu, Liu, Yuan",Integrated Optimization of Process Planning and Scheduling for Aerospace Complex Component Based on Honey-Bee Mating Algorithm
"Yu, Zhang, Chen, Zhang",Integration of Process Planning and Scheduling Using a Hybrid GA–PSO Algorithm
"Zhang, Benyoucef, Sialat",An Energy-efficient Multi Objectives MILP Model for Integrated Process Planing and Scheduling in RMS
"Zhang, Fu, Gao, Zhang, Wang",Cooperative Evolutionary Algorithm with Simulated Annealing for Integrated Scheduling of Distributed Flexible Job Shops and Distribution
"Zhang, Jiang, Zhang, Gu",Energy-aware integration of process planning and scheduling of advanced machining workshop
"Zhang, Li, Gao, Liu",Constraint programming-based layered method for integrated process planning and scheduling in extensive flexible manufacturing
"Zhang, Liao, Ma, Yao",Hierarchical multistrategy genetic algorithm for integrated process planning and scheduling
"Zhang, Wong",An object-coding genetic algorithm for integrated process planning and scheduling
"Zhang, Wong",Integrated process planning and scheduling: an enhanced ant colony optimization heuristic with parameter tuning
"Zhang, Xu, Yu, Zhang, Yu",Combining Extended Imperialist Competitive Algorithm with a Genetic Algorithm to Solve the Distributed Integration of Process Planning and Scheduling Problem
"Zhang, Zhu, Tang, Zhou, Gui",Dynamic job shop scheduling based on deep reinforcement learning for multi-agent manufacturing systems
"Zheng, Chen, Liu, Zhuang",Real-time dynamic integrated process planning and scheduling with reconfigurable manufacturing cells via multi-agent reinforcement learning
"Zheng, Kobayashi, et al.",MLCP: A Framework Integrating with Machine Learning and Optimization for Planning and Scheduling in Manufacturing and Services
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
